code,system
E21..00,readv2
31819.0,readv2
35642.0,readv2
60522.0,readv2
22259.0,readv2
1293.0,readv2
27481.0,readv2
28227.0,readv2
44242.0,readv2
38100.0,readv2
45188.0,readv2
31789.0,readv2
34456.0,readv2
52465.0,readv2
49779.0,readv2
21077.0,readv2
21338.0,readv2
59008.0,readv2
27945.0,readv2
7745.0,readv2
25146.0,readv2
37289.0,readv2
19931.0,readv2
56502.0,readv2
36043.0,readv2
49600.0,readv2
32869.0,readv2
21671.0,readv2
15098.0,readv2
68042.0,readv2
792.0,readv2
23597.0,readv2
57567.0,readv2
58693.0,readv2
31632.0,readv2
4515.0,readv2
3709.0,readv2
39535.0,readv2
38371.0,readv2
39011.0,readv2
61969.0,readv2
49721.0,readv2
40057.0,readv2
20033.0,readv2
15960.0,readv2
55969.0,readv2
20881.0,readv2
30395.0,readv2
33741.0,readv2
70899.0,readv2
3369.0,readv2
17420.0,readv2
43690.0,readv2
18565.0,readv2
71431.0,readv2
94096.0,readv2
23977.0,readv2
2076.0,readv2
30603.0,readv2
8424.0,readv2
67590.0,readv2
2729.0,readv2
69000.0,readv2
105029.0,readv2
6339.0,readv2
14747.0,readv2
50188.0,readv2
40104.0,readv2
42496.0,readv2
48796.0,readv2
53335.0,readv2
20839.0,readv2
35763.0,readv2
4759.0,readv2
48687.0,readv2
67130.0,readv2
27803.0,readv2
38031.0,readv2
21665.0,readv2
5652.0,readv2
69185.0,readv2
50348.0,readv2
1364.0,readv2